ID_CLIENTE;ESTC;NDEP;RENDA;TIPOR;VBEM;NPARC;VPARC;TEL;IDADE;RESMS;ENTRADA;ADIMPLENTE
262;C;0;667;NP;557;11;64;S;32;0;64;N
263;C;0;2000;P;429;10;60;N;24;6;0;N
264;S;0;900;P;495;24;53;S;46;0;0;N
265;C;0;573;P;495;9;60;N;46;6;60;S
266;C;0;792;NP;1092;6;183;N;42;48;0;N
267;S;2;378;NP;339;10;52;N;37;6;0;N
268;S;0;6373;NP;548;3;149;N;59;48;149;S
269;C;0;320;P;1149;9;66;N;20;6;749;N
270;S;0;322;P;469;10;72;S;40;0;0;S
271;C;0;1600;NP;435;10;66;S;41;0;0;N
272;C;0;1300;P;405;4;119;N;36;6;0;S
273;C;0;380;P;635;15;75;N;20;6;0;N
274;S;0;400;P;380;6;87;N;43;6;0;S
275;S;0;735;P;519;12;70;N;39;6;0;S
276;S;0;1600;P;349;10;51;N;36;6;0;S
277;S;0;300;NP;482;12;66;N;23;0;0;N
278;C;0;601;NP;404;6;68;N;53;48;0;N
279;C;0;400;P;480;10;67;N;62;6;0;S
280;S;0;2000;NP;359;6;70;N;30;48;0;N
281;C;0;8000;NP;329;3;122;N;58;48;0;S
282;C;0;1038;NP;439;12;54;N;63;48;0;S
283;S;0;300;NP;455;12;63;S;48;120;0;N
284;C;0;453;NP;1000;12;116;N;24;48;0;N
285;D;2;600;NP;557;12;76;N;51;8;0;N
286;C;0;624;P;451;12;61;N;41;6;0;S
287;S;1;896;NP;478;15;59;N;49;144;0;N
288;C;0;2000;P;495;2;175;N;40;6;175;S
289;C;0;600;NP;409;10;63;S;45;240;0;N
290;C;0;1886;P;329;6;70;N;35;6;0;S
291;S;0;1100;P;636;10;97;S;44;180;0;S
292;S;0;800;NP;530;20;58;N;34;60;0;N
293;S;0;1509;NP;499;12;63;N;64;48;0;N
294;S;0;1000;NP;555;12;79;N;57;0;0;S
295;C;0;1238;P;806;18;87;N;44;6;0;N
296;S;0;480;P;399;6;87;N;37;6;0;S
297;S;0;1016;NP;541;5;99;N;59;48;99;S
298;S;0;300;P;455;10;69;N;46;6;0;N
299;C;0;1000;P;466;4;136;N;31;6;0;S
300;S;0;320;NP;480;12;65;S;44;0;0;N
301;S;0;2000;NP;475;2;160;N;61;0;160;S
302;S;0;300;NP;300;6;69;N;27;0;0;N
303;C;0;1500;P;480;10;67;N;38;6;0;S
304;S;0;400;NP;489;12;67;S;27;36;0;N
305;S;0;360;NP;519;15;64;N;33;228;0;N
306;C;0;907;NP;989;6;132;N;63;48;350;S
307;S;0;550;P;631;6;134;N;52;6;0;S
308;S;0;953;NP;698;6;145;N;40;48;0;N
309;S;0;600;P;329;6;72;N;35;6;0;S
